DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"10, 1991 816 S.W.2d 189 1991 WL 176323
Extracted from page: 9
","David Ranken, Jr. Technical Institute v. Boykins, No. 73444, 816 S.W.2d 189, 70 Ed. Law Rep. 686, 1991 WL 176323 (Mo. Sep. 10, 1991)
","Sep. 10, 1991",Missouri,Overruled by," 1.  Alumax Foils, Inc. v. City of St. Louis 
939 S.W.2d 907 , Util. L. Rep. P 26,595 , Mo. , (NO. 79019 )
","Feb. 25, 1997"
"2. November 22, 1904 185 Mo. 114 83 S.W. 975
Extracted from page: 1
","State v. Rosenblatt, 185 Mo. 114, 83 S.W. 975 (Mo. Nov. 22, 1904)
","Nov. 22, 1904",Missouri,Overruled by," 1.  State v. Wade  
183 S.W. 598 , 267 Mo. 249 , Mo. , (NO. 18711 )
","Mar. 01, 1916"
"1. November 23, 1904 184 Mo. 481 83 S.W. 479
Extracted from page: 2
","Meyer v. Phenix Ins. Co., 184 Mo. 481, 83 S.W. 479 (Mo. Nov. 23, 1904)
","Nov. 23, 1904",Missouri,Overruled by," 1.  Cudahy Packing Co. v. Chicago & N.W. Ry. Co. 
230 S.W. 82 , 287 Mo. 452 , Mo. , (NO. 21471 )
","Apr. 09, 1921"
"Supreme Court of Missouri. March 09, 1904 181 Mo. 5 79 S.W. 913
Extracted from page: 3
","Montgomery v. Dormer, 181 Mo. 5, 79 S.W. 913 (Mo. Mar. 09, 1904)
","Mar. 09, 1904",Missouri,Overruled by," 1.  Gantt v. Brown  
142 S.W. 422 , 238 Mo. 560 , Mo.
","Dec. 20, 1911"
"2. May 31, 1904 182 Mo. 231 81 S.W. 446
Extracted from page: 5
","Harkness v. Jarvis, 182 Mo. 231, 81 S.W. 446 (Mo. May 31, 1904)
","May 31, 1904",Missouri,Overruled by," 1.  State ex rel. Conant v. Trimble 
277 S.W. 916 , 311 Mo. 128 , Mo. , (NO. 25734 )
","Aug. 25, 1925"
"1. June 20, 1904 183 Mo. 166 82 S.W. 70
Extracted from page: 5
","Board of Education of City of St. Louis v. National Surety Co., 183 Mo. 166, 82 S.W. 70 (Mo. June 20, 1904)
","June 20, 1904",Missouri,Overruled by," 1.  Gary Realty Co. v. Swinney 
17 S.W.2d 505 , 322 Mo. 450 , Mo. , (NO. 27233 )
","Mar. 29, 1929"
"Missouri, Division No. 1. March 17, 1904 180 Mo. 420 79 S.W. 1130
Extracted from page: 7
","Bagnell Timber Co. v. Missouri, K. & T.R. Co., 180 Mo. 420, 79 S.W. 1130 (Mo. Mar. 17, 1904)
","Mar. 17, 1904",Missouri,Overruled by," 1.  Hutchinson v. Richmond Safety Gate Co. 
152 S.W. 52 , 247 Mo. 71 , Mo.
","Nov. 30, 1912"
"13, 2000 20 S.W.3d 519 2000 WL 777291
Extracted from page: 2
","Tooley v. State, No. SC82342, 20 S.W.3d 519, 2000 WL 777291 (Mo. June 13, 2000)
","June 13, 2000",Missouri,Overruled by," 1.  Glover v. State 
225 S.W.3d 425 , Mo. , (NO. SC88373 )
","June 12, 2007"
"11, 2000 10 S.W.3d 508 2000 WL 14992
Extracted from page: 4
","Moss v. State, No. SC81837, 10 S.W.3d 508, 2000 WL 14992 (Mo. Jan. 11, 2000)
","Jan. 11, 2000",Missouri,Abrogated by," 1.  Mallow v. State 
439 S.W.3d 764 , Mo. , (NO. SC93878 )
","Aug. 19, 2014"
"09, 2000 16 S.W.3d 332 2000 WL 560858
Extracted from page: 5
","Parr v. Parr, No. SC82134, 16 S.W.3d 332, 2000 WL 560858 (Mo. May 09, 2000)
","May 09, 2000",Missouri,Abrogated by," 1.  Macke v. Patton  
591 S.W.3d 865 , Mo. , (NO. SC 97599 )
","July 16, 2019"
"2. June 02, 1891 105 Mo. 76 16 S.W. 514
Extracted from page: 7
","State v. Hayes, 105 Mo. 76, 16 S.W. 514, 24 Am. St. Rep. 360 (Mo. June 02, 1891)
","June 02, 1891",Missouri,Overruled by," 1.  State v. Barton 
44 S.W. 239 , 142 Mo. 450 , Mo.
","Feb. 01, 1898"
"2. December 22, 1891 107 Mo. 627 18 S.W. 19
Extracted from page: 8
","State ex rel. Scotland County v. Bacon, 107 Mo. 627, 18 S.W. 19 (Mo. Dec. 22, 1891)
","Dec. 22, 1891",Missouri,Overruled by," 1.  State ex rel. Herriford v. McKee 
51 S.W. 421 , 150 Mo. 233 , Mo.
","May 30, 1899"
"1. June 29, 1891 105 Mo. 382 16 S.W. 917
Extracted from page: 9
","Geo. D. Barnard & Co. v. Knox County, 105 Mo. 382, 16 S.W. 917, 13 L.R.A. 244 (Mo. June 29, 1891)
","June 29, 1891",Missouri,Overruled by," 1.  Lamar Water & Elec. Light Co. v. City of Lamar 
31 S.W. 756 , 128 Mo. 188 , Mo.
","Mar. 30, 1895"
"2. December 22, 1891 107 Mo. 543 17 S.W. 990
Extracted from page: 10
","State v. Talmage, 107 Mo. 543, 17 S.W. 990 (Mo. Dec. 22, 1891)
","Dec. 22, 1891",Missouri,Overruled by," 1.  State v. Pettit 
24 S.W. 1014 , 119 Mo. 410 , Mo.
","Jan. 31, 1894"
"Supreme Court of Missouri. October 01, 1884 82 Mo. 493 1884 WL 9451
Extracted from page: 11
","Sprague v. Rooney, 82 Mo. 493, 52 Am. Rep. 383, 1884 WL 9451 (Mo. Oct. 01, 1884)
","Oct. 01, 1884",Missouri,Overruled by," 1.  Sprague v. Rooney 
16 S.W. 505 , 104 Mo. 349 , Mo.
","May 25, 1891"
"Supreme Court of Missouri. October 01, 1884 83 Mo. 235 1884 WL 9481
Extracted from page: 12
","Sedalia, W. & S. Ry. Co. v. Wilkerson, 83 Mo. 235, 1884 WL 9481 (Mo. Oct. 01, 1884)
","Oct. 01, 1884",Missouri,Overruled by," 1.  State ex rel. Thompson v. Reynolds 
186 S.W. 1057 , 268 Mo. 210 , Mo. , (NO. 18953 )
","June 02, 1916"
"Supreme Court of Missouri. October 01, 1884 84 Mo. 168 1884 WL 9540
Extracted from page: 14
","State v. Leabo, 84 Mo. 168, 54 Am. Rep. 91, 1884 WL 9540 (Mo. Oct. 01, 1884)
","Oct. 01, 1884",Missouri,Overruled by," 1.  State v. Punshon 
27 S.W. 1111 , 124 Mo. 448 , Mo.
","Nov. 05, 1894"
