DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Alabama. February 13, 1902 132 Ala. 85 31 So. 454
Extracted from page: 5
","Borum v. Bell, 132 Ala. 85, 31 So. 454 (Ala. Feb. 13, 1902)
","Feb. 13, 1902",Alabama,Overruled by," 1.  Lowery v. Pritchett 
85 So. 531 , 204 Ala. 328 , Ala. , (NO. 3 DIV. 449 )
","June 03, 1920"
"Supreme Court of Alabama. May 13, 1902 133 Ala. 437 32 So. 127
Extracted from page: 6
","Acree v. Dabney, 133 Ala. 437, 32 So. 127 (Ala. May 13, 1902)
","May 13, 1902",Alabama,Overruled by," 1.  Brugh v. White 
103 So.2d 800 , 267 Ala. 575 , Ala. , (NO. 2 DIV. 344 )
","June 27, 1957"
"Supreme Court of Alabama. February 13, 1902 132 Ala. 375 31 So. 521
Extracted from page: 7
","Barnett v. Wilson, 132 Ala. 375, 31 So. 521 (Ala. Feb. 13, 1902)
","Feb. 13, 1902",Alabama,Overruled by," 1.  Baker v. Patterson 
55 So. 135 , 171 Ala. 88 , Ala.
","Apr. 03, 1911"
"Supreme Court of Alabama. February 13, 1902 132 Ala. 540 31 So. 478
Extracted from page: 7
","Arndt v. City of Cullman, 132 Ala. 540, 31 So. 478, 90 Am. St. Rep. 922 (Ala. Feb. 13, 1902)
","Feb. 13, 1902",Alabama,Overruled by," 1.  City of Birmingham v. Norwood 
126 So. 619 , 220 Ala. 497 , Ala. , (NO. 6 DIV. 536 )
","Jan. 25, 1930"
"Supreme Court of Alabama. June 28, 1902 134 Ala. 293 32 So. 700
Extracted from page: 7
","Bear Creek Mill Co. v. Parker, 134 Ala. 293, 32 So. 700 (Ala. June 28, 1902)
","June 28, 1902",Alabama,Overruled by," 1.  Cahaba Coal Co. v. Elliott 
62 So. 808 , 183 Ala. 298 , Ala.
","May 15, 1913"
"Supreme Court of Alabama. April 13, 1911 173 Ala. 213 55 So. 500
Extracted from page: 9
","City of Birmingham v. Coffman, 173 Ala. 213, 55 So. 500, Am. Ann. Cas. 1914A, 887 (Ala. Apr. 13, 1911)
","Apr. 13, 1911",Alabama,Overruled by," 1.  Town of Elba v. Cooper 
93 So. 853 , 208 Ala. 149 , Ala. , (NO. 4 DIV.952 )
","June 22, 1922"
"Supreme Court of Alabama. February 09, 1911 170 Ala. 83 54 So. 522
Extracted from page: 10
","Chancey v. State, 170 Ala. 83, 54 So. 522 (Ala. Feb. 09, 1911)
","Feb. 09, 1911",Alabama,Overruled by," 1.  Thompson v. State  
149 So.2d 916 , 274 Ala. 383 , Ala. , (NO. 6 DIV. 790 )
","Jan. 17, 1963"
"Supreme Court of Alabama. February 02, 1911 171 Ala. 498 55 So. 164
Extracted from page: 10
","Dixon v. Hayes, 171 Ala. 498, 55 So. 164 (Ala. Feb. 02, 1911)
","Feb. 02, 1911",Alabama,Overruled by," 1.  Earnest v. Fite  
100 So. 637 , 211 Ala. 363 , Ala. , (NO. 6 DIV. 789 )
","May 29, 1924"
"Supreme Court of Alabama. February 08, 1912 176 Ala. 229 57 So. 762
Extracted from page: 15
","Geo. W. Muller Mfg. Co. v. First Nat. Bank, 176 Ala. 229, 57 So. 762 (Ala. Feb. 08, 1912)
","Feb. 08, 1912",Alabama,Overruled by," 1.  Ashurst v. Arnold-Henegar-Doyle Co.  
78 So. 386 , 201 Ala. 480 , Ala. , (NO. 5 DIV. 652 )
","Mar. 23, 1918"
"Supreme Court of Alabama. February 08, 1912 175 Ala. 15 57 So. 829
Extracted from page: 16
","Roberson v. State, 175 Ala. 15, 57 So. 829 (Ala. Feb. 08, 1912)
","Feb. 08, 1912",Alabama,Overruled by," 1.  Ex parte Davis 
63 So. 1010 , 184 Ala. 26 , Ala.
","Dec. 18, 1913"
"Supreme Court of Alabama. April 18, 1912 179 Ala. 136 59 So. 584
Extracted from page: 19
","Birmingham Ry., Light & Power Co. v. Saxon, 179 Ala. 136, 59 So. 584 (Ala. Apr. 18, 1912)
","Apr. 18, 1912",Alabama,Overruled by," 1.  Alabama Great Southern R. Co. v. Robinson 
62 So. 813 , 183 Ala. 265 , Ala.
","June 03, 1913"
"Supreme Court of Alabama. February 10, 1900 125 Ala. 712 27 So. 1024
Extracted from page: 19
","Western Union Tel. Co. v. Allgood, 125 Ala. 712, 27 So. 1024 (Ala. Feb. 10, 1900)
","Feb. 10, 1900",Alabama,Overruled by," 1.  Manker v. Western Union Telegraph Co. 
34 So. 839 , 137 Ala. 292 , Ala.
","Dec. 18, 1902"
"Supreme Court of Alabama. December 20, 1900 128 Ala. 335 30 So. 645
Extracted from page: 21
","Mobile Transp. Co. v. City of Mobile, 128 Ala. 335, 30 So. 645, 86 Am. St. Rep. 143, 64 L.R.A. 333 (Ala. Dec. 20, 1900)
","Dec. 20, 1900",Alabama,Overruled by," 1.  Mobile Docks Co. v. City of Mobile 
40 So. 205 , 146 Ala. 198 , 3 L.R.A.N.S. 822 , 9 Am.Ann.Cas. 1229 , Ala.
","Feb. 06, 1906"
"Supreme Court of Alabama. April 05, 1900 127 Ala. 356 28 So. 465
Extracted from page: 22
","Mueller v. Mueller, 127 Ala. 356, 28 So. 465 (Ala. Apr. 05, 1900)
","Apr. 05, 1900",Alabama,Overruled by," 1.  Guice v. Guice 
43 So. 199 , 150 Ala. 552 , Ala.
","Mar. 02, 1907"
"Supreme Court of Alabama. May 16, 1900 126 Ala. 369 28 So. 582
Extracted from page: 23
","Hereford v. Combs, 126 Ala. 369, 28 So. 582 (Ala. May 16, 1900)
","May 16, 1900",Alabama,Overruled by," 1.  Webb v. Gray 
62 So. 194 , 181 Ala. 408 , Ala.
","Apr. 10, 1913"
"Supreme Court of Alabama. April 19, 1900 126 Ala. 632 28 So. 522
Extracted from page: 23
","City Council of Montgomery v. Birdsong, 126 Ala. 632, 28 So. 522 (Ala. Apr. 19, 1900)
","Apr. 19, 1900",Alabama,Overruled by," 1.  City Council of Montgomery v. Moore 
37 So. 291 , 140 Ala. 638 , Ala.
","May 10, 1904"
"Supreme Court of Alabama. April 10, 1900 125 Ala. 199 27 So. 1006
Extracted from page: 23
","Central of Georgia Ry. Co. v. Forshee, 125 Ala. 199, 27 So. 1006 (Ala. Apr. 10, 1900)
","Apr. 10, 1900",Alabama,Overruled by," 1.  Harris v. Nashville, C. & St. L. Ry. 
44 So. 962 , 153 Ala. 139 , 14 L.R.A.N.S. 261 , Ala.
","Mar. 21, 1907"
