DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Kansas. March 09, 1918 102 Kan. 701 171 P. 639
Extracted from page: 15
","State v. Knapp, No. 21790, 102 Kan. 701, 171 P. 639 (Kan. Mar. 09, 1918)
","Mar. 09, 1918",Kansas,Overruled by," 1.  State v. Kearns 
623 P.2d 507 , 229 Kan. 207 , Kan. , (NO. 52,461 )
","Feb. 11, 1981"
"Supreme Court of Kansas. April 11, 1931 132 Kan. 854 297 P. 668
Extracted from page: 26
","Frary v. Roxana Petroleum Corp., No. 29888, 132 Kan. 854, 297 P. 668 (Kan. Apr. 11, 1931)
","Apr. 11, 1931",Kansas,Overruled by," 1.  Frary v. Roxana Petroleum Corp.  
9 P.2d 652 , 135 Kan. 216 , Kan. , (NO. 30422 )
","Apr. 09, 1932"
"Supreme Court of Kansas. December 12, 1931 134 Kan. 201 5 P.2d 855
Extracted from page: 30
","Wallace v. Weber, No. 30073, 134 Kan. 201, 5 P.2d 855 (Kan. Dec. 12, 1931)
","Dec. 12, 1931",Kansas,Overruled by," 1.  Ferris v. Lockett 
267 P.2d 190 , 175 Kan. 704 , Kan. , (NO. 39454 , 39455 , 39459 )
","Mar. 03, 1954"
"Supreme Court of Kansas. February 07, 1931 132 Kan. 454 295 P. 719
Extracted from page: 34
","Honn v. Elliott, No. 29779, 132 Kan. 454, 295 P. 719 (Kan. Feb. 07, 1931)
","Feb. 07, 1931",Kansas,Overruled by," 1.  Casco v. Armour Swift-Eckrich  
154 P.3d 494 , 283 Kan. 508 , Kan. , (NO. 93,984 )
","Mar. 23, 2007"
"Supreme Court of Kansas. November 05, 1892 49 Kan. 685 31 P. 303
Extracted from page: 37
","O'Meara v. McDaniel, 49 Kan. 685, 31 P. 303 (Kan. Nov. 05, 1892)
","Nov. 05, 1892",Kansas,Overruled by," 1.  Bolinger v. Brake 
47 P. 537 , 57 Kan. 663 , Kan.
","Jan. 08, 1897"
"Supreme Court of Kansas. February 06, 1892 48 Kan. 41 28 P. 1004
Extracted from page: 37
","Noble v. Greer, 48 Kan. 41, 28 P. 1004 (Kan. Feb. 06, 1892)
","Feb. 06, 1892",Kansas,Overruled by," 1.  Carpenter v. Riley  
675 P.2d 900 , 234 Kan. 758 , Kan. , (NO. 55643 )
","Jan. 13, 1984"
"Supreme Court of Kansas. February 06, 1892 48 Kan. 12 28 P. 989
Extracted from page: 42
","Mott v. Cherryvale Water & Mfg. Co., 48 Kan. 12, 28 P. 989, 30 Am. St. Rep. 267, 15 L.R.A. 375 (Kan. Feb. 06, 1892)
","Feb. 06, 1892",Kansas,Overruled by," 1.  Anderson v. Rexroad  
266 P.2d 320 , 175 Kan. 676 , Kan. , (NO. 39228 )
","Jan. 23, 1954"
"Supreme Court of Kansas. January 26, 1935 141 Kan. 236 40 P.2d 375
Extracted from page: 46
","Cooper v. Cyr, No. 32009, 141 Kan. 236, 40 P.2d 375 (Kan. Jan. 26, 1935)
","Jan. 26, 1935",Kansas,Overruled by," 1.  Finley v. McClure 
567 P.2d 851 , 222 Kan. 637 , Kan. , (NO. 48441 )
","July 11, 1977"
"Supreme Court of Kansas. July 06, 1935 142 Kan. 296 46 P.2d 633
Extracted from page: 51
","Paris v. Crittenden, No. 32350, 142 Kan. 296, 46 P.2d 633 (Kan. July 06, 1935)
","July 06, 1935",Kansas,Overruled by," 1.  Fieser v. St. Francis Hospital & School of Nursing, Inc. 
510 P.2d 145 , 212 Kan. 35 , Kan. , (NO. 46714 )
","May 12, 1973"
"Supreme Court of Kansas. June 08, 1935 142 Kan. 35 46 P.2d 22
Extracted from page: 51
","Noller v. Aetna Life Ins. Co., No. 32289, 142 Kan. 35, 46 P.2d 22 (Kan. June 08, 1935)
","June 08, 1935",Kansas,Overruled by," 1.  Harper v. Prudential Ins. Co. of America  
662 P.2d 1264 , 233 Kan. 358 , Kan. , (NO. 54,707 )
","Apr. 29, 1983"
