DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Montana. December 31, 1979 186 Mont. 99 606 P.2d 1043
Extracted from page: 17
","State v. Allies, No. 14305, 186 Mont. 99, 606 P.2d 1043, 1979 WL 592970 (Mont. Dec. 31, 1979)
","Dec. 31, 1979",Montana,Abrogated by," 1.  State v. Cope 
819 P.2d 1280 , 250 Mont. 387 , Mont. , (NO. 91-211 )
","Oct. 30, 1991"
"Supreme Court of Montana. September 17, 1979 184 Mont. 262 602 P.2d 957
Extracted from page: 17
","State v. Just, No. 14197, 184 Mont. 262, 602 P.2d 957, 1979 WL 533558 (Mont. Sep. 17, 1979)
","Sep. 17, 1979",Montana,Overruled by," 1.  State v. Swann 
160 P.3d 511 , 337 Mont. 326 , 2007 MT 126 , Mont. , (NO. DA 06-0020 )
","May 31, 2007"
"Supreme Court of Montana. September 17, 1979 184 Mont. 262 602 P.2d 957
Extracted from page: 17
","State v. Just, No. 14197, 184 Mont. 262, 602 P.2d 957, 1979 WL 533558 (Mont. Sep. 17, 1979)
","Sep. 17, 1979",Montana,Overruled by," 2.  State v. District Court of Eighteenth Judicial Dist. of Montana  
246 P.3d 415 , 358 Mont. 325 , 2010 MT 263 , Mont. , (NO. OP 10-0288 )
","Dec. 14, 2010"
"Supreme Court of Montana. June 13, 1979 185 Mont. 253 605 P.2d 974
Extracted from page: 17
","State v. Bretz, No. 13826, 185 Mont. 253, 605 P.2d 974 (Mont. June 13, 1979)
","June 13, 1979",Montana,Overruled by," 1.  City of Helena v. Frankforter 
423 P.3d 581 , 392 Mont. 277 , 2018 MT 193 , Mont. , (NO. DA 15-0801 )
","Aug. 07, 2018"
"Supreme Court of Montana. May 20, 1982 198 Mont. 271 645 P.2d 946
Extracted from page: 18
","Celmer v. Schmitt, No. 81477, 198 Mont. 271, 645 P.2d 946 (Mont. May 20, 1982)
","May 20, 1982",Montana,Overruled by," 1.  Lewis v. B & B Pawnbrokers, Inc.  
968 P.2d 1145 , 292 Mont. 82 , 138 Lab.Cas. P 58,625 , 1998 MT 302 , Mont. , (NO. 97-679 )
","Dec. 08, 1998"
"Supreme Court of Montana. February 19, 1974 164 Mont. 81 518 P.2d 1406
Extracted from page: 21
","State v. Bush, No. 12599, 164 Mont. 81, 518 P.2d 1406 (Mont. Feb. 19, 1974)
","Feb. 19, 1974",Montana,Overruled by," 1.  State ex rel. Abbitt v. Justice Court of Lake County  
714 P.2d 140 , 220 Mont. 210 , Mont. , (NO. 86-47 )
","Feb. 13, 1986"
"Supreme Court of Montana. October 03, 1974 165 Mont. 302 529 P.2d 1403
Extracted from page: 22
","State ex rel. LaFlesch v. District Court of Fourth Judicial Dist. In and For Missoula County, No. 12854, 165 Mont. 302, 529 P.2d 1403 (Mont. Oct. 03, 1974)
","Oct. 03, 1974",Montana,Overruled by," 1.  Keating v. Sherlock 
924 P.2d 1297 , 278 Mont. 218 , Mont. , (NO. 96-402 , 96-452 , 96-457 )
","Sep. 10, 1996"
"Supreme Court of Montana. February 01, 1974 164 Mont. 23 518 P.2d 788
Extracted from page: 22
","Monroe v. Harper, No. 12498, 164 Mont. 23, 518 P.2d 788 (Mont. Feb. 01, 1974)
","Feb. 01, 1974",Montana,Overruled by," 1.  Blackburn v. Blue Mountain Women’s Clinic 
951 P.2d 1 , 286 Mont. 60 , Mont. , (NO. 96-408 )
","Dec. 11, 1997"
"Supreme Court of Montana. May 07, 1974 164 Mont. 319 522 P.2d 87
Extracted from page: 23
","Fiscus v. Beartooth Elec., No. 12685, 164 Mont. 319, 522 P.2d 87 (Mont. May 07, 1974)
","May 07, 1974",Montana,Overruled by," 1.  Piper v. Lockwood Water Users Ass’n 
573 P.2d 646 , 175 Mont. 242 , Mont. , (NO. 13794 )
","Jan. 06, 1978"
"Supreme Court of Montana. May 24, 1974 164 Mont. 334 523 P.2d 1395
Extracted from page: 23
","State v. Smith, No. 12593, 164 Mont. 334, 523 P.2d 1395 (Mont. May 24, 1974)
","May 24, 1974",Montana,Abrogated by," 1.  State v. Cope 
819 P.2d 1280 , 250 Mont. 387 , Mont. , (NO. 91-211 )
","Oct. 30, 1991"
